iter	RMSE
0	1.737175451
1	1.706171234
2	1.678008797
3	1.654287103
4	1.627902772
5	1.597827749
6	1.575802783
7	1.548915603
8	1.523865398
9	1.499428627
10	1.476383805
11	1.455243573
12	1.43868848
13	1.420094192
14	1.40021302
15	1.378737292
16	1.360783609
17	1.341806538
18	1.323186474
19	1.306470468
20	1.29021787
21	1.273691366
22	1.258570221
23	1.244346247
24	1.228721872
25	1.214660707
26	1.201157095
27	1.186865717
28	1.174061365
29	1.161014066
30	1.149339939
31	1.137885766
32	1.127612313
33	1.116577958
34	1.104696399
35	1.094460999
36	1.084024346
37	1.075991911
38	1.066918806
39	1.057477283
40	1.048474077
41	1.039667318
42	1.030353158
43	1.022720799
44	1.015224976
45	1.007355013
46	0.9990968327
47	0.9924859832
48	0.9864367262
49	0.9803931231
50	0.9743942298
51	0.9686212624
52	0.9632024989
53	0.9564150346
54	0.9507189617
55	0.9453938067
56	0.9389711873
57	0.9340703362
58	0.9277086343
59	0.9231847824
60	0.9181763977
61	0.9140247532
62	0.9092463604
63	0.9045391016
64	0.9003046971
65	0.895327395
66	0.8914531746
67	0.8866495727
68	0.8822499545
69	0.8785815488
70	0.8740404552
71	0.8705285258
72	0.8672008885
73	0.86347608
74	0.8596312032
75	0.8560430855
76	0.8535427374
77	0.8499773756
78	0.8463483304
79	0.8440971014
80	0.8412945051
81	0.8385907189
82	0.8350464076
83	0.8324761145
84	0.829873921
85	0.8273548265
86	0.8250977705
87	0.8224792427
88	0.8201990701
89	0.817796019
90	0.814969687
91	0.8125004672
92	0.8097094174
93	0.8072331419
94	0.8054004153
95	0.8028446914
96	0.8007537448
97	0.798582757
98	0.7963648118
99	0.7947990779
100	0.7925561158
101	0.7899311424
102	0.7883214885
103	0.7863258602
104	0.7833474086
105	0.7821248272
106	0.7804137463
107	0.7793447985
108	0.7782849276
109	0.7765747364
110	0.7742256252
111	0.7719664766
112	0.7702629666
113	0.768499662
114	0.7669099601
115	0.7653250177
116	0.7637775138
117	0.7621833168
118	0.7606175907
119	0.758779003
120	0.757739689
121	0.7564137607
122	0.7545281027
123	0.7532806704
124	0.7515155278
125	0.7496570946
126	0.7487118341
127	0.7477787912
128	0.7452981889
129	0.7440753907
130	0.7431429749
131	0.7409918512
132	0.7399686792
133	0.7387665495
134	0.7368403617
135	0.7353564792
136	0.7338292697
137	0.7321385667
138	0.7306227751
139	0.7293819689
140	0.7278573005
141	0.7271247165
142	0.7253877446
143	0.723828313
144	0.7226696189
145	0.7214179177
146	0.7200663415
147	0.7187406175
148	0.7181689925
149	0.7171690123
150	0.7157176269
151	0.7150881175
152	0.7135887258
153	0.7125149157
154	0.7109519939
155	0.7089377018
156	0.7076589301
157	0.7066636141
158	0.7056223301
159	0.704307841
160	0.7028511234
161	0.7018074497
162	0.7009400838
163	0.6993768644
164	0.6980322087
165	0.6975793974
166	0.6966600673
167	0.6957486687
168	0.6947764307
169	0.693352611
170	0.6913102317
171	0.690215471
172	0.6889902054
173	0.6881848748
174	0.6873297667
175	0.686902333
176	0.6853874956
177	0.6836505938
178	0.6832302462
179	0.6825125517
180	0.6814155186
181	0.6807347159
182	0.6800048433
183	0.6790036662
184	0.6774226756
185	0.6760259205
186	0.6755692586
187	0.6748534401
188	0.6738667318
189	0.6723817542
190	0.6716317691
191	0.6713243808
192	0.6703878734
193	0.6693199196
194	0.6686803135
195	0.6675604215
196	0.6672376347
197	0.6660718162
198	0.664917799
199	0.6643232233
200	0.6633976713
201	0.6626967096
202	0.6617975554
203	0.6607054804
204	0.6603672918
205	0.6590784445
206	0.657433164
207	0.6564926803
208	0.6557642584
209	0.6549752946
210	0.6541062093
211	0.6530479046
212	0.6519316114
213	0.6514837786
214	0.6506756408
215	0.6494259069
216	0.6488217045
217	0.6485653134
218	0.646350548
219	0.6459427238
220	0.6452121906
221	0.6446034877
222	0.6434975146
223	0.6417171929
224	0.6410305513
225	0.6402696174
226	0.6398239022
227	0.639153056
228	0.6381091976
229	0.6374706912
230	0.636431976
231	0.6350902685
232	0.6339617005
233	0.6328238057
234	0.6319471892
235	0.6305666129
236	0.6301083934
237	0.6292129647
238	0.6283000654
239	0.6272284582
240	0.6261558057
241	0.625608365
242	0.6248140733
243	0.6236842909
244	0.6228966402
245	0.6223127198
246	0.6218703056
247	0.6209072206
248	0.6199348301
249	0.6193524779
250	0.6176830576
251	0.617366619
252	0.6169304095
253	0.6163316391
254	0.6153041873
255	0.614769509
256	0.6138047508
257	0.6127826262
258	0.6112507794
259	0.6100158118
260	0.6088743322
261	0.6078990926
262	0.6076600541
263	0.6074070946
264	0.6063871299
265	0.6048866032
266	0.6045979163
267	0.604303019
268	0.6037197012
269	0.6028756588
270	0.6021519531
271	0.6017324086
272	0.6013164133
273	0.600726765
274	0.5997774112
275	0.5987091991
276	0.5972650403
277	0.5964412925
278	0.5960398795
279	0.5956571238
280	0.5954503957
281	0.5946596273
282	0.5943052678
283	0.5940196416
284	0.5934559863
285	0.5933175341
286	0.5926784019
287	0.5912901368
288	0.5909940321
289	0.5905551684
290	0.5897745061
291	0.5890638659
292	0.5878911036
293	0.5866470406
294	0.5850432363
295	0.5844474039
296	0.584225865
297	0.5828799258
298	0.5819457774
299	0.5804612161
300	0.5795884109
301	0.578378581
302	0.5781737678
303	0.5778553809
304	0.5764191509
305	0.5762208686
306	0.5757304017
307	0.5749107121
308	0.5746462056
309	0.573963262
310	0.5738144618
311	0.5736410298
312	0.5731916713
313	0.5722858975
314	0.5720731303
315	0.5719013392
316	0.5716478029
