Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
Avengers: Age of Ultron (2015),http://www.imdb.com/title/tt2395427/,7.3,66,141,"$250,000,000 ",191271109,459005868,1402805868,1-May-15,PG-13,Action Adventure Sci-Fi,USA
Avengers: Infinity War (2018),http://www.imdb.com/title/tt4154756/,8.4,68,149,"$321,000,000 ",257698183,678815482,2048359754,27-Apr-18,PG-13,Action Adventure Sci-Fi,USA
Avengers: Endgame (2019),http://www.imdb.com/title/tt4154796/,8.4,78,181,"$356,000,000 ",357115007,858373000,2797800564,26-Apr-19,PG-13,Action Adventure Drama,USA
Thor (2011),http://www.imdb.com/title/tt0800369/,7,57,115,"$150,000,000 ",65723338,181030624,449326618,6-May-11,PG-13,Action Adventure Fantasy,USA
Thor: The Dark World (2013),http://www.imdb.com/title/tt1981115/,6.9,54,112,"$170,000,000 ",85737841,206362140,644783140,8-Nov-13,PG-13,Action Adventure Fantasy,USA
Captain America: The First Avenger (2011),http://www.imdb.com/title/tt0458339/,6.9,66,124,"$140,000,000 ",65058524,176654505,370569774,22-Jul-11,PG-13,Action Adventure Sci-Fi,USA
Captain America: The Winter Soldier (2014),http://www.imdb.com/title/tt1843866/,7.7,70,136,"$170,000,000 ",95023721,259766572,714421503,4-Apr-14,PG-13,Action Adventure Sci-Fi,USA
Deadpool (2016),http://www.imdb.com/title/tt1431045/,8,65,108,"$58,000,000 ",132434639,363070709,782612155,12-Feb-16,R,Action Adventure Comedy,USA
Deadpool 2 (2018),http://www.imdb.com/title/tt5463162/,7.7,66,119,"$110,000,000 ",125507153,324591735,785794179,18-May-18,R,Action Adventure Comedy,USA
The Purge (2013),http://www.imdb.com/title/tt2184339/,5.7,41,85,"$3,000,000 ",34058360,64473115,89328627,7-Jun-13,R,Horror Thriller,USA
The Purge: Anarchy (2014),http://www.imdb.com/title/tt2975578/,6.4,50,103,"$9,000,000 ",29816675,71962800,111928365,18-Jul-14,R,Action Horror Sci-Fi,USA
Zoolander (2001),http://www.imdb.com/title/tt0196229/,6.5,61,90,"$28,000,000 ",15525043,45172250,60780981,28-Sep-01,PG-13,Comedy,Germany
Zoolander 2 (2016),http://www.imdb.com/title/tt1608290/,4.7,34,101,"$50,000,000 ",13841146,28848693,56722693,12-Feb-16,PG-13,Action Adventure Comedy,USA
Alice in Wonderland (2010),http://www.imdb.com/title/tt1014759/,6.4,53,108,"$200,000,000 ",116101023,334191110,1025467110,5-Mar-10,PG,Adventure Family Fantasy,USA
Alice Through the Looking Glass (2016),http://www.imdb.com/title/tt2567026/,6.2,34,113,"$170,000,000 ",26858726,77041381,299457024,27-May-16,PG,Adventure Family Fantasy,USA
Independence Day (1996),http://www.imdb.com/title/tt0116629/,7,59,145,"$75,000,000 ",50228264,306169268,817400891,3-Jul-96,PG-13,Action Adventure Sci-Fi,USA
Independence Day: Resurgence (2016),http://www.imdb.com/title/tt1628841/,5.2,32,120,"$165,000,000 ",41039944,103144286,389681935,24-Jun-16,PG-13,Action Adventure Sci-Fi,USA
Unbreakable (2000),http://www.imdb.com/title/tt0217869/,7.3,62,106,"$75,000,000 ",30330771,95011339,248118121,22-Nov-00,PG-13,Drama Mystery Sci-Fi,USA
Split (2016),http://www.imdb.com/title/tt4972582/,7.3,62,117,"$9,000,000 ",40010975,138291365,278454358,20-Jan-17,PG-13,Horror Thriller,USA
The Hustler (1961),http://www.imdb.com/title/tt0054997/,8,90,,"$21,500,000 ",None,None,7600000,25-Sep-61,Not Rated,Drama Sport,USA
The Color of Money (1986),http://www.imdb.com/title/tt0090863/,7,77,119,"$13,800,000 ",6357877,52293982,52293982,17-Oct-86,R,Drama Sport,USA
Trainspotting (1996),http://www.imdb.com/title/tt0117951/,8.1,83,93,"$3,500,000 ",262673,16491080,16593356,9-Aug-96,R,Drama,UK
T2 Trainspotting (2017),http://www.imdb.com/title/tt2763304/,7.2,67,117,"$18,000,000 ",170575,2402004,41681746,31-Mar-17,R,Drama,UK
Blade Runner (1982),http://www.imdb.com/title/tt0083658/,8.1,84,117,"$28,000,000 ",6150002,32868943,41458976,25-Jun-82,R,Action Sci-Fi Thriller,USA
Blade Runner 2049 (2017),http://www.imdb.com/title/tt1856101/,8,81,164,"$150,000,000 ",32753122,92054159,259239658,6-Oct-17,R,Action Drama Mystery,USA
Guardians of the Galaxy (2014),http://www.imdb.com/title/tt2015381/,8,76,121,"$170,000,000 ",94320883,333176600,772776600,1-Aug-14,PG-13,Action Adventure Comedy,USA
