Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
RED (2010),https://www.imdb.com/title/tt0108656/,7.0,60,111,$58000000,21761408,90380162,199006387,15 October 2010,PG-13,Action Comedy Crime,USA
RED 2 (2013),https://www.imdb.com/title/tt0108656/,6.6,47,116,$84000000,18048422,53262560,148075565,19 July 2013,PG-13,Action Adventure Comedy,USA
The Talented Mr. Ripley (1999),https://www.imdb.com/title/tt0108656/,7.4,76,139,$40000000,12738237,81298265,128798265,25 December 1999,R,Crime Drama Thriller,USA
Ripley's Game (2002),https://www.imdb.com/title/tt0108656/,6.6,None,110,$30000000,None,None,6200970,7 February 2003,R,Crime Drama Mystery,UK
Ripley Under Ground (2005),https://www.imdb.com/title/tt0108656/,6.0,None,101,None,None,None,None,31 October 2007,1h 41min,31 October 2007 (Philippines),Germany
Escape from New York (1981),https://www.imdb.com/title/tt0108656/,7.2,76,99,$6000000,None,25244626,25244626,10 July 1981,R,Action Adventure Sci-Fi,USA
Escape from L.A. (1996),https://www.imdb.com/title/tt0108656/,5.8,54,101,$50000000,8912557,25477365,25477365,9 August 1996,R,Action Adventure Sci-Fi,USA
The Lawnmower Man (1992),https://www.imdb.com/title/tt0108656/,5.5,42,108,$10000000,7751971,32100816,32100816,6 March 1992,R,Horror Sci-Fi,UK
Lawnmower Man 2: Beyond Cyberspace (1996),https://www.imdb.com/title/tt0108656/,2.5,29,93,$15000000,1428658,2409225,2409225,12 January 1996,PG-13,Action Sci-Fi Thriller,USA
"Honey, I Shrunk the Kids (1989)",https://www.imdb.com/title/tt0108656/,6.3,63,93,$18000000,14262961,130724172,222724172,23 June 1989,PG,Adventure Comedy Family,USA
"Honey, I Blew Up the Kid (1992)",https://www.imdb.com/title/tt0108656/,4.8,50,89,$40000000,11083318,58662452,58662452,17 July 1992,PG,Adventure Comedy Family,USA
Honey (2003),https://www.imdb.com/title/tt0108656/,5.4,37,94,$18000000,12856040,30308417,62228395,5 December 2003,PG-13,Drama Music Romance,USA
Honey 2 (2011),https://www.imdb.com/title/tt0108656/,5.3,None,110,None,None,None,8775693,August 2011,PG-13,Comedy Drama Music,USA
Psycho (1960),https://www.imdb.com/title/tt0108656/,8.5,97,109,$806947,None,32000000,32000000,8 September 1960,R,Horror Mystery Thriller,USA
Psycho II (1983),https://www.imdb.com/title/tt0108656/,6.5,54,113,$5000000,8310244,34725000,34725000,3 June 1983,R,Crime Horror Mystery,USA
Fortress (1992),https://www.imdb.com/title/tt0108656/,5.9,None,95,$8000000,4040711,6739141,6739141,3 September 1993,R,Action Crime Sci-Fi,Australia
Fortress 2 (2000),https://www.imdb.com/title/tt0108656/,4.6,None,92,$11000000,None,None,None,2 March 2000,R,Action Sci-Fi,Luxembourg
White Noise (2005),https://www.imdb.com/title/tt0108656/,5.5,30,101,$10000000,24113565,56386759,91196419,7 January 2005,PG-13,Drama Horror Mystery,UK
White Noise 2: The Light (2007),https://www.imdb.com/title/tt0108656/,5.7,None,99,$10000000,None,None,8526917,5 January 2007,PG-13,Drama Fantasy Horror,USA
Cocoon (1985),https://www.imdb.com/title/tt0108656/,6.7,65,117,$17500000,7936427,76113124,85313124,21 June 1985,PG-13,Comedy Drama Sci-Fi,USA
Cocoon: The Return (1988),https://www.imdb.com/title/tt0108656/,5.5,45,116,$17500000,5568143,18924919,25024919,23 November 1988,PG,Adventure Comedy Mystery,USA
Magic Mike (2012),https://www.imdb.com/title/tt0108656/,6.1,72,110,$7000000,39127170,113721571,167739368,29 June 2012,R,Comedy Drama,USA
Magic Mike XXL (2015),https://www.imdb.com/title/tt0108656/,5.6,60,115,$14800000,12857184,66013057,117813057,1 July 2015,R,Comedy Drama Music,USA
Jumper (2008),https://www.imdb.com/title/tt0108656/,6.1,35,88,$85000000,27354808,80172128,225132113,14 February 2008,PG-13,Action Adventure Sci-Fi,USA
Lilo & Stitch (2002),https://www.imdb.com/title/tt0108656/,7.2,73,85,$80000000,35260212,145794338,273144151,21 June 2002,PG,Animation Adventure Comedy,USA
The Sisterhood of the Traveling Pants (2005),https://www.imdb.com/title/tt0108656/,6.5,66,119,$25000000,9833340,39053061,42013878,1 June 2005,PG,Comedy Drama Romance,USA
The Sisterhood of the Traveling Pants 2 (2008),https://www.imdb.com/title/tt0108656/,6.2,63,119,$27000000,10678430,44089964,44352417,6 August 2008,PG-13,Comedy Drama Romance,USA
Bad Santa (2003),https://www.imdb.com/title/tt0108656/,7.0,70,92,$23000000,12500000,60060328,76488889,26 November 2003,R,Comedy Crime Drama,Germany
Bad Santa 2 (2016),https://www.imdb.com/title/tt0108656/,5.6,38,92,$26000000,6176680,17782178,24079268,23 November 2016,R,Comedy Crime Drama,USA
District B13 (2004),https://www.imdb.com/title/tt0108656/,7.2,70,84,EUR12000000,410000,1200216,11169386,2 June 2006,R,Action Crime Sci-Fi,France
