Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
The Mummy Returns (2001),http://www.imdb.com/title/tt0209163/,6.3,48.0,130,98000000.0,68139035.0,202019785.0,443280904.0,2001-05-04,PG-13,Action Adventure Fantasy,USA
Alvin and the Chipmunks (2007),http://www.imdb.com/title/tt0952640/,5.2,39.0,92,60000000.0,44307417.0,217326974.0,365352546.0,2007-12-14,PG,Animation Comedy Family,USA
Alvin and the Chipmunks: The Squeakquel (2009),http://www.imdb.com/title/tt1231580/,4.5,41.0,88,75000000.0,48875415.0,219614612.0,443140005.0,2009-12-23,PG,Animation Comedy Family,USA
The Fugitive (1993),http://www.imdb.com/title/tt0106977/,7.8,87.0,130,44000000.0,23758855.0,183875760.0,368875760.0,1993-08-06,PG-13,Action Crime Drama,USA
U.S. Marshals (1998),http://www.imdb.com/title/tt0120873/,6.6,47.0,131,60000000.0,16863988.0,57167405.0,102367405.0,1998-03-06,PG-13,Action Crime Thriller,USA
Analyze This (1999),http://www.imdb.com/title/tt0122933/,6.7,61.0,103,80000000.0,18383507.0,106885658.0,176885658.0,1999-03-05,R,Comedy Crime,USA
Analyze That (2002),http://www.imdb.com/title/tt0289848/,5.9,37.0,96,60000000.0,11034422.0,32130627.0,55003135.0,2002-12-06,R,Comedy Crime,USA
The Whole Nine Yards (2000),http://www.imdb.com/title/tt0190138/,6.7,47.0,98,41300000.0,13731070.0,57262492.0,106371651.0,2000-02-18,R,Comedy Crime,USA
The Whole Ten Yards (2004),http://www.imdb.com/title/tt0327247/,5.5,24.0,98,40000000.0,6685381.0,16328471.0,26170671.0,2004-04-09,PG-13,Comedy Crime Thriller,USA
The Addams Family (1991),http://www.imdb.com/title/tt0101272/,6.9,57.0,99,30000000.0,24203754.0,113502426.0,191502426.0,1991-11-22,PG-13,Comedy Fantasy,USA
Addams Family Values (1993),http://www.imdb.com/title/tt0106220/,6.7,62.0,94,47000000.0,14117545.0,48919043.0,48919043.0,1993-11-19,PG-13,Comedy Fantasy,USA
Sex and the City (2008),http://www.imdb.com/title/tt1000774/,5.6,53.0,145,65000000.0,57038404.0,152647258.0,418765321.0,2008-05-30,R,Comedy Drama Romance,USA
Sex and the City 2 (2010),http://www.imdb.com/title/tt1261945/,4.5,27.0,146,100000000.0,31001870.0,95347692.0,290745055.0,2010-05-27,R,Comedy Drama Romance,USA
Wayne's World (1992),http://www.imdb.com/title/tt0105793/,7.0,57.0,94,20000000.0,18122710.0,121697323.0,183097323.0,1992-02-14,PG-13,Comedy Music,USA
Wayne's World 2 (1993),http://www.imdb.com/title/tt0108525/,6.2,60.0,95,40000000.0,13516699.0,48197805.0,48198564.0,1993-12-10,PG-13,Comedy Music,USA
The French Connection (1971),http://www.imdb.com/title/tt0067116/,7.7,94.0,104,1800000.0,,51700000.0,51700000.0,1971-10-09,R,Action Crime Drama,USA
French Connection II (1975),http://www.imdb.com/title/tt0073018/,6.8,68.0,119,4340000.0,,12484444.0,12484444.0,1975-05-21,R,Action Crime Drama,USA
The Mask (1994),http://www.imdb.com/title/tt0110475/,6.9,56.0,101,23000000.0,23117068.0,119938730.0,351583407.0,1994-07-29,PG-13,Action Comedy Crime,USA
Son of the Mask (2005),http://www.imdb.com/title/tt0362165/,2.2,20.0,94,84000000.0,7700000.0,17018422.0,59981548.0,2005-02-18,PG,Comedy Family Fantasy,USA
The Pink Panther (2006),http://www.imdb.com/title/tt0383216/,5.7,38.0,93,80000000.0,20220412.0,82226474.0,164115897.0,2006-02-10,PG,Adventure Comedy Crime,USA
The Pink Panther 2 (2009),http://www.imdb.com/title/tt0838232/,5.6,36.0,92,70000000.0,11588150.0,35922978.0,76025134.0,2009-02-06,PG,Action Adventure Comedy,USA
The Silence of the Lambs (1991),http://www.imdb.com/title/tt0102926/,8.6,85.0,118,19000000.0,13766814.0,130742922.0,272753884.0,1991-02-14,R,Crime Drama Thriller,USA
Hannibal (2001),http://www.imdb.com/title/tt0212985/,6.8,57.0,131,87000000.0,58003121.0,165092268.0,351692268.0,2001-02-09,R,Crime Drama Thriller,USA
Red Dragon (2002),http://www.imdb.com/title/tt0289765/,7.2,60.0,124,78000000.0,36540945.0,93149898.0,209196298.0,2002-10-04,R,Crime Drama Thriller,Germany
Hannibal Rising (2007),http://www.imdb.com/title/tt0367959/,6.2,35.0,121,50000000.0,13051650.0,27670986.0,82169884.0,2007-02-09,R,Adventure Crime Drama,UK
A Nightmare on Elm Street (1984),http://www.imdb.com/title/tt0087800/,7.5,76.0,91,1800000.0,1271000.0,25504513.0,25504513.0,1984-11-16,R,Horror,USA
A Nightmare on Elm Street 2: Freddy's Revenge (1985),http://www.imdb.com/title/tt0089686/,5.5,43.0,87,3000000.0,2865475.0,29999213.0,29999213.0,1985-11-01,R,Horror,USA
