,Title,url,IMDB Score,Metacritic,Runtime (mins),Budget,Opening Weekend,Gross USA,Gross World,Release Date,Rating,Genres,Country
846,Death Wish 3 (1985),https://www.imdb.com/title/tt0089003/,5.9,18.0,92,9000000.0,5319116.0,16116878.0,16116878.0,1985-11-01,R,Action Crime Drama,USA
848,Dhoom (2004),https://www.imdb.com/title/tt0422091/,6.7,,129,1500000.0,102860.0,245756.0,9900000.0,2004-08-27,R,Action Thriller,India
850,Crocodile Dundee (1986),https://www.imdb.com/title/tt0090555/,6.6,62.0,97,8800000.0,8038855.0,174803506.0,328203506.0,1986-09-26,PG-13,Action Adventure Comedy,Australia
852,Smokey and the Bandit (1977),https://www.imdb.com/title/tt0076729/,7.0,50.0,96,4300000.0,,126737428.0,126737428.0,1977-05-27,PG,Action Comedy,USA
854,The Cannonball Run (1981),https://www.imdb.com/title/tt0082136/,6.3,28.0,95,18000000.0,11765654.0,72179579.0,72179579.0,1981-06-19,PG,Action Comedy Sport,USA
856,Goal! The Dream Begins (2005),https://www.imdb.com/title/tt0380389/,6.7,53.0,118,10000000.0,1921838.0,4283255.0,27610873.0,2006-05-12,PG-13,Adventure Drama Romance,USA
858,Porky's (1981),https://www.imdb.com/title/tt0084522/,6.2,40.0,94,2500000.0,7623988.0,111289673.0,111289673.0,1982-03-19,R,Comedy,Canada
860,Warlock (1989),https://www.imdb.com/title/tt0098622/,6.2,,103,7000000.0,780360.0,9094451.0,9094451.0,1991-01-11,R,Action Fantasy Horror,USA
862,The Beastmaster (1982),https://www.imdb.com/title/tt0083630/,6.2,18.0,118,8000000.0,2955641.0,14056528.0,14056528.0,1982-08-20,PG,Action Adventure Fantasy,USA
864,Free Willy (1993),https://www.imdb.com/title/tt0106965/,6.0,79.0,112,20000000.0,7868829.0,77698625.0,153698625.0,1993-07-16,PG,Adventure Drama Family,USA
866,Paranormal Activity: The Marked Ones (2014),https://www.imdb.com/title/tt2473682/,5.0,42.0,84,5000000.0,18343611.0,32462372.0,90894962.0,2014-01-03,R,Horror Mystery Thriller,USA
868,Honey (2003),https://www.imdb.com/title/tt0322589/,5.4,37.0,94,18000000.0,12856040.0,30308417.0,62228395.0,2003-12-05,PG-13,Drama Music Romance,USA
870,Witchboard (1986),https://www.imdb.com/title/tt0090327/,5.7,45.0,98,2000000.0,95435.0,7369373.0,7369373.0,1987-03-13,R,Horror Mystery Thriller,UK
872,Kickboxer (1989),https://www.imdb.com/title/tt0097659/,6.5,33.0,97,1500000.0,4134098.0,14697005.0,14697005.0,1989-09-08,R,Action Sport Thriller,USA
874,Highlander (1986),https://www.imdb.com/title/tt0091203/,7.1,24.0,116,16000000.0,2453021.0,5900000.0,5900000.0,1986-03-07,R,Action Adventure Fantasy,UK
876,Highlander: The Final Dimension (1994),https://www.imdb.com/title/tt0110027/,4.5,28.0,99,26000000.0,5536435.0,12303080.0,12303080.0,1995-01-27,PG-13,Action Fantasy Romance,UK
878,Iron Eagle (1986),https://www.imdb.com/title/tt0091278/,5.5,41.0,117,18000000.0,6104754.0,24159872.0,24159872.0,1986-01-17,PG-13,Action Thriller War,USA
880,Fifty Shades of Grey (2015),https://www.imdb.com/title/tt2322441/,4.1,46.0,125,40000000.0,85171450.0,166167230.0,569651467.0,2015-02-13,R,Drama Romance Thriller,USA
882,Bruce Almighty,https://www.imdb.com/title/tt0108656/,6.8,46.0,101,81000000.0,67953330.0,242829261.0,484592874.0,2003-05-25,PG-13,Comedy Drama Fantasy,USA
884,Problem Child,https://www.imdb.com/title/tt0100419/,5.5,27.0,81,10000000.0,10026900.0,53470891.0,72270891.0,1990-07-29,PG,Comedy Family,USA
886,Flintstones ,https://www.imdb.com/title/tt0109813/,4.9,38.0,91,46000000.0,29688730.0,130531208.0,341631208.0,1994-05-29,PG,Comedy Family,USA
888,Ip Man,https://www.imdb.com/title/tt1220719/,8.0,59.0,106,11715578.0,,,22108789.0,2008-12-12,R,Action Biography Drama,Hong Kong
890,Ip Man 3,https://www.imdb.com/title/tt2888046/,7.1,57.0,105,36000000.0,784839.0,2679437.0,157029618.0,2015-12-25,R,Action Biography Drama,Hong Kong
892,The Big Boss,https://www.imdb.com/title/tt0067824/,7.1,,99,100000.0,,,50000000.0,1971-10-23,R,Action Crime Drama,Hong Kong
894,The Way of the Dragon,https://www.imdb.com/title/tt0068935/,7.3,74.0,90,130000.0,,,130000000.0,1972-08-14,R,Action Adventure Crime,Hong Kong
896,Flatliners,https://www.imdb.com/title/tt0099582,6.6,55.0,115,26000000.0,10034685.0,61489265.0,61489265.0,1990-08-10,R,Drama Horror Sci-Fi,USA
898,Bhoothnath,http://www.imdb.com/title/tt0991346/,6.3,,150,210000.0,330246.0,476032.0,13236817.0,2008-05-09,PG-13,Comedy Drama Family,India
900,Mary Poppins (1964),https://www.imdb.com/title/tt0058331/,7.8,88.0,139,6000000.0,,102272727.0,103082283.0,2065-06-18,G,Comedy Family Fantasy,USA
902,Airplane! (1980),https://www.imdb.com/title/tt0080339/,7.7,78.0,88,3500000.0,,83453539.0,83453539.0,1980-07-02,PG,Comedy,USA
904,The Human Centipede (First Sequence) (2009),https://www.imdb.com/title/tt1467304/,4.4,33.0,92,2030000.0,12424.0,181467.0,325113.0,2010-04-28,R,Horror,Netherlands
906,The Brady Bunch Movie (1995),https://www.imdb.com/title/tt0112572/,6.0,54.0,90,12000000.0,14827066.0,46576136.0,46576136.0,1995-02-17,PG-13,Comedy,USA
908,Sister Act (1992),https://www.imdb.com/title/tt0105417/,6.4,51.0,100,31000000.0,11894587.0,139605150.0,231605150.0,1992-05-29,PG,Comedy Crime Family,USA
910,Kiss the Girls (1997),https://www.imdb.com/title/tt0119468/,6.6,46.0,115,27000000.0,13215167.0,60527873.0,60527873.0,1997-10-03,R,Crime Drama Mystery,USA
912,Unfriended (2014),https://www.imdb.com/title/tt3713166/,5.5,59.0,83,1000000.0,15845115.0,32482090.0,62882090.0,2015-04-17,R,Horror Mystery Thriller,USA
914,House of 1000 Corpses (2003),https://www.imdb.com/title/tt0251736/,6.1,31.0,89,7000000.0,3400000.0,12634962.0,16829545.0,2003-04-11,R,Horror,USA
916,Journey to the Center of the Earth (2008),https://www.imdb.com/title/tt0373051/,5.8,57.0,93,60000000.0,21018141.0,101704370.0,244232688.0,2008-07-11,PG,Action Adventure Family,USA
918,Grease (1978),https://www.imdb.com/title/tt0077631/,7.2,70.0,110,6000000.0,8941717.0,190071103.0,397217505.0,1978-06-16,PG,Musical Romance,USA
920,The Wizard of Oz (1939),https://www.imdb.com/title/tt0032138/,8.0,100.0,102,2777000.0,5354311.0,24790250.0,26142032.0,2039-08-25,PG,Adventure Family Fantasy,USA
922,Daddy's Home (2015),https://www.imdb.com/title/tt1528854/,6.2,42.0,96,50000000.0,38740203.0,150357137.0,242786137.0,2015-12-25,PG-13,Comedy Family,USA
924,Westworld (1973),https://www.imdb.com/title/tt0070909/,7.0,77.0,88,1250000.0,,,10000000.0,1973-08-15,PG,Action Sci-Fi Thriller,USA
926,Goosebumps (2015),https://www.imdb.com/title/tt1051904/,6.3,60.0,103,58000000.0,23618556.0,80080379.0,158260952.0,2015-10-16,PG,Adventure Comedy Family,USA
928,The Rescuers (1977),https://www.imdb.com/title/tt0076618/,6.9,74.0,78,7500000.0,2111582.0,71215869.0,71215869.0,1977-06-22,G,Animation Adventure Comedy,USA
