Title,url
Urban Legends: Final Cut,http://www.imdb.com/title/tt0192731/
The Punisher,http://www.imdb.com/title/tt0330793/
Punisher: War Zone,http://www.imdb.com/title/tt0450314/
Batman,http://www.imdb.com/title/tt0096895/
Batman Returns,http://www.imdb.com/title/tt0103776/
Batman Forever,http://www.imdb.com/title/tt0112462/
Batman & Robin,http://www.imdb.com/title/tt0118688/
Batman Begins,http://www.imdb.com/title/tt0372784/
The Dark Knight,http://www.imdb.com/title/tt0468569/
The Dark Knight Rises,http://www.imdb.com/title/tt1345836/
Hellboy,http://www.imdb.com/title/tt0167190/
Hellboy II: The Golden Army,http://www.imdb.com/title/tt0411477/
Blade,http://www.imdb.com/title/tt0120611/
Blade II,http://www.imdb.com/title/tt0187738/
Blade: Trinity,http://www.imdb.com/title/tt0359013/
Superman Returns,http://www.imdb.com/title/tt0348150/
Daredevil,http://www.imdb.com/title/tt0287978/
Elektra,http://www.imdb.com/title/tt0357277/
The Crow,http://www.imdb.com/title/tt0109506/
The Crow: City of Angels,http://www.imdb.com/title/tt0115986/
The Crow: Salvation,http://www.imdb.com/title/tt0132910/
The Crow: Wicked Prayer,http://www.imdb.com/title/tt0353324/
Men in Black,http://www.imdb.com/title/tt0119654/
Men in Black II,http://www.imdb.com/title/tt0120912/
Men in Black 3,http://www.imdb.com/title/tt1409024/
Resident Evil,http://www.imdb.com/title/tt0120804/
Resident Evil: Apocalypse,http://www.imdb.com/title/tt0318627/
Resident Evil: Extinction,http://www.imdb.com/title/tt0432021/
Resident Evil: Afterlife,http://www.imdb.com/title/tt1220634/
Resident Evil: Retribution,http://www.imdb.com/title/tt1855325/
From Dusk Till Dawn,http://www.imdb.com/title/tt0116367/
Spy Kids,http://www.imdb.com/title/tt0227538/
Spy Kids 2: Island of Lost Dreams,http://www.imdb.com/title/tt0287717/
Spy Kids 3-D: Game Over,http://www.imdb.com/title/tt0338459/
Spy Kids 4: All the Time in the World,http://www.imdb.com/title/tt1517489/
I Know What You Did Last Summer,http://www.imdb.com/title/tt0119345/
I Still Know What You Did Last Summer,http://www.imdb.com/title/tt0130018/
Garfield,http://www.imdb.com/title/tt0356634/
Garfield: A Tail of Two Kitties,http://www.imdb.com/title/tt0455499/
Iron Man,http://www.imdb.com/title/tt0371746/
Iron Man 2,http://www.imdb.com/title/tt1228705/
Iron Man Three,http://www.imdb.com/title/tt1300854/
Shrek,http://www.imdb.com/title/tt0126029/
Shrek 2,http://www.imdb.com/title/tt0298148/
Shrek the Third,http://www.imdb.com/title/tt0413267/
Shrek Forever After,http://www.imdb.com/title/tt0892791/
Secret of the Wings,http://www.imdb.com/title/tt1217213/
Jurassic Park,http://www.imdb.com/title/tt0107290/
The Lost World: Jurassic Park,http://www.imdb.com/title/tt0119567/
Jurassic Park III,http://www.imdb.com/title/tt0163025/
Jurassic World,http://www.imdb.com/title/tt0369610/
Raiders of the Lost Ark,http://www.imdb.com/title/tt0082971/
Indiana Jones and the Temple of Doom,http://www.imdb.com/title/tt0087469/
Indiana Jones and the Last Crusade,http://www.imdb.com/title/tt0097576/
Indiana Jones and the Kingdom of the Crystal Skull,http://www.imdb.com/title/tt0367882/
Star Wars: Episode I - The Phantom Menace,http://www.imdb.com/title/tt0120915/
Star Wars: Episode II - Attack of the Clones,http://www.imdb.com/title/tt0121765/
Star Wars: Episode III - Revenge of the Sith,http://www.imdb.com/title/tt0121766/
Star Wars: Episode IV - A New Hope,http://www.imdb.com/title/tt0076759/
Star Wars: Episode V - The Empire Strikes Back,http://www.imdb.com/title/tt0080684/
Star Wars: Episode VI - Return of the Jedi,http://www.imdb.com/title/tt0086190/
Austin Powers: The Spy Who Shagged Me,http://www.imdb.com/title/tt0145660/
Austin Powers: International Man of Mystery,http://www.imdb.com/title/tt0118655/
Austin Powers in Goldmember,http://www.imdb.com/title/tt0295178/
Twilight,http://www.imdb.com/title/tt1099212/
The Twilight Saga: New Moon,http://www.imdb.com/title/tt1259571/
The Twilight Saga: Eclipse,http://www.imdb.com/title/tt1325004/
The Twilight Saga: Breaking Dawn - Part 1,http://www.imdb.com/title/tt1324999/
The Twilight Saga: Breaking Dawn - Part 2,http://www.imdb.com/title/tt1673434/
The Messengers,http://www.imdb.com/title/tt0425430/
Kill Bill: Vol. 1,http://www.imdb.com/title/tt0266697/
Kill Bill: Vol. 2,http://www.imdb.com/title/tt0378194/
The Mask of Zorro,http://www.imdb.com/title/tt0120746/
The Legend of Zorro,http://www.imdb.com/title/tt0386140/
Ghostbusters,http://www.imdb.com/title/tt0087332/
Ghostbusters II,http://www.imdb.com/title/tt0097428/
The Santa Clause,http://www.imdb.com/title/tt0111070/
The Santa Clause 2,http://www.imdb.com/title/tt0304669/
The Santa Clause 3: The Escape Clause,http://www.imdb.com/title/tt0452681/
Doctor Dolittle,http://www.imdb.com/title/tt0118998/
Dr. Dolittle 2,http://www.imdb.com/title/tt0240462/
The Nutty Professor,http://www.imdb.com/title/tt0117218/
Nutty Professor II: The Klumps,http://www.imdb.com/title/tt0144528/
Beverly Hills Cop,http://www.imdb.com/title/tt0086960/
Beverly Hills Cop II,http://www.imdb.com/title/tt0092644/
Beverly Hills Cop III,http://www.imdb.com/title/tt0109254/
48 Hrs.,http://www.imdb.com/title/tt0083511/
Another 48 Hrs.,http://www.imdb.com/title/tt0099044/
Father of the Bride,http://www.imdb.com/title/tt0101862/
Father of the Bride Part II,http://www.imdb.com/title/tt0113041/
Speed,http://www.imdb.com/title/tt0111257/
Speed 2: Cruise Control,http://www.imdb.com/title/tt0120179/
Scary Movie,http://www.imdb.com/title/tt0175142/
Scary Movie 2,http://www.imdb.com/title/tt0257106/
Scary Movie 3,http://www.imdb.com/title/tt0306047/
Scary Movie 4,http://www.imdb.com/title/tt0362120/
Scary Movie 5,http://www.imdb.com/title/tt0795461/
The Ring,http://www.imdb.com/title/tt0298130/
The Ring Two,http://www.imdb.com/title/tt0377109/
The Texas Chainsaw Massacre 2,http://www.imdb.com/title/tt0092076/
Leatherface: Texas Chainsaw Massacre III,http://www.imdb.com/title/tt0099994/
Texas Chainsaw Massacre: The Next Generation,http://www.imdb.com/title/tt0110978/
The Texas Chainsaw Massacre,http://www.imdb.com/title/tt0324216/
The Texas Chainsaw Massacre: The Beginning,http://www.imdb.com/title/tt0420294/
Meet the Parents,http://www.imdb.com/title/tt0212338/
Meet the Fockers,http://www.imdb.com/title/tt0290002/
Little Fockers,http://www.imdb.com/title/tt0970866/
Shanghai Noon,http://www.imdb.com/title/tt0184894/
Shanghai Knights,http://www.imdb.com/title/tt0300471/
Anaconda,http://www.imdb.com/title/tt0118615/
Anacondas: The Hunt for the Blood Orchid,http://www.imdb.com/title/tt0366174/
Behind Enemy Lines,http://www.imdb.com/title/tt0159273/
The Marine,http://www.imdb.com/title/tt0419946/
Walking Tall,http://www.imdb.com/title/tt0351977/
Walking Tall,http://www.imdb.com/title/tt0070895/
Walking Tall Part II,http://www.imdb.com/title/tt0073880/
Final Chapter: Walking Tall,http://www.imdb.com/title/tt0076028/
Vacancy,http://www.imdb.com/title/tt0452702/
Vacancy 2: The First Cut,http://www.imdb.com/title/tt1204979/
Hostel,http://www.imdb.com/title/tt0450278/
Hostel: Part II,http://www.imdb.com/title/tt0498353/
Charlie's Angels,http://www.imdb.com/title/tt0160127/
Charlie's Angels: Full Throttle,http://www.imdb.com/title/tt0305357/
Bad Boys,http://www.imdb.com/title/tt0112442/
Bad Boys II,http://www.imdb.com/title/tt0172156/
Bad Boys For Life,http://www.imdb.com/title/tt1502397/
Big Momma's House,http://www.imdb.com/title/tt0208003/
Big Momma's House 2,http://www.imdb.com/title/tt0421729/
